Program Version:,EnergyPlus, Version 8.3.0-6d97d074ea, YMD=2018.04.26 10:12
Tabular Output Report in Format: ,Comma

Building:,Building
Environment:,PHIPPS_CSL_BUILDING_WINTER ** Pittsburgh Allegheny Co Ap PA USA TMY3 WMO#=725205

----------------------------------------------------------------------------------------------------
REPORT:,Annual Building Utility Performance Summary
FOR:,Entire Facility
Values gathered over      2928.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Site and Source Energy

,,Total Energy [kWh],Energy Per Total Building Area [kWh/m2],Energy Per Conditioned Building Area [kWh/m2]
,Total Site Energy,25021.94,8.58,10.39
,Net Site Energy,25021.94,8.58,10.39
,Total Source Energy,79244.50,27.19,32.92
,Net Source Energy,79244.50,27.19,32.92


Site to Source Energy Conversion Factors

,,Site=>Source Conversion Factor
,Electricity,3.167
,Natural Gas,1.084
,District Cooling,1.056
,District Heating,3.613
,Steam,0.300
,Gasoline,1.050
,Diesel,1.050
,Coal,1.050
,Fuel Oil #1,1.050
,Fuel Oil #2,1.050
,Propane,1.050
,Other Fuel 1,1.000
,Other Fuel 2,1.000


Building Area

,,Area [m2]
,Total Building Area,2914.99
,Net Conditioned Building Area,2407.15
,Unconditioned Building Area,507.84


End Uses

,,Electricity [kWh],Natural Gas [kWh],Additional Fuel [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,Heating,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,5353.59,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,4508.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,964.46,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,9456.56,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,988.11,0.00,0.00,0.00,0.00,0.00
,Fans,1994.43,0.00,0.00,0.00,0.00,0.00
,Pumps,1756.80,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,
,Total End Uses,25021.94,0.00,0.00,0.00,0.00,0.00


End Uses By Subcategory

,,Subcategory,Electricity [kWh],Natural Gas [kWh],Additional Fuel [kWh],District Cooling [kWh],District Heating [kWh],Water [m3]
,,ELECTRIC EQUIPMENT#1ST%FLOOR:1st%Edctn%Strg#GeneralLights,107.69,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1ST%FLOOR:1st%Elevator%Machine#GeneralLights,0.12,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%SOUTH:2nd%Open%Office%NE#GeneralLights,877.50,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%SOUTH:2nd%Conference%02#GeneralLights,11.49,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%SOUTH:2nd%Open%Office%SW#GeneralLights,40.62,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%SOUTH:2nd%Open%Office%SMW#GeneralLights,78.93,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%SOUTH:2nd%Open%Office%SM#GeneralLights,60.06,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%SOUTH:2nd%Open%Office%SE#GeneralLights,67.07,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%SOUTH:2nd%Open%Office%SME#GeneralLights,101.78,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%SOUTH:2nd%Conference%01#GeneralLights,21.79,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%SOUTH:2nd%Phone%Booth#GeneralLights,21.46,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%SOUTH:2nd%Open%Office%NMW#GeneralLights,111.29,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%SOUTH:2nd%Open%Office%NME#GeneralLights,54.27,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%SOUTH:2nd%Open%Office%NW#GeneralLights,47.88,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%NORTH:2nd%Lobby#GeneralLights,760.34,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%NORTH:2nd%Restrooms#GeneralLights,208.93,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%NORTH:2nd%Corridor#GeneralLights,114.05,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%NORTH:2nd%Secure%Files#GeneralLights,59.61,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%NORTH:2nd%Conference%03#GeneralLights,49.01,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%NORTH:2nd%Work%Room#GeneralLights,139.91,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%SOUTH:2nd%Open%Office%SME1#GeneralLights,68.55,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,Exterior Facade Lighting,964.46,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,ELECTRIC EQUIPMENT#1ST%FLOOR:1st%Conference#05,106.93,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1ST%FLOOR:1st%Research%Open%NE#05,550.07,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1ST%FLOOR:1st%Classroom#05,690.62,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1ST%FLOOR:1st%Research%Open%NW#05,339.81,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1ST%FLOOR:1st%Research%Open%NM#05,420.47,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1ST%FLOOR:1st%Break%Room#05,603.33,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1ST%FLOOR:1st%Volunteer%Area#05,150.79,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1ST%FLOOR:1st%Research%Open%SW#05,350.25,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1ST%FLOOR:1st%Research%Open%SM#05,571.04,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#1ST%FLOOR:1st%Research%Open%SE#05,571.04,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%SOUTH:2nd%Open%Office%NE#05,1666.53,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%SOUTH:2nd%Conference%02#05,136.75,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%SOUTH:2nd%Open%Office%SW#05,195.47,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%SOUTH:2nd%Open%Office%SMW#05,362.52,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%SOUTH:2nd%Open%Office%SM#05,265.70,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%SOUTH:2nd%Open%Office%SE#05,301.81,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%SOUTH:2nd%Open%Office%SME#05,464.41,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%SOUTH:2nd%Conference%01#05,288.42,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%SOUTH:2nd%Open%Office%NMW#05,377.87,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%SOUTH:2nd%Open%Office%NME#05,277.84,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%SOUTH:2nd%Open%Office%NW#05,195.67,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%NORTH:2nd%Conference%03#05,131.16,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%NORTH:2nd%Work%Room#05,128.42,0.00,0.00,0.00,0.00,0.00
,,ELECTRIC EQUIPMENT#2ND%FLOOR%SOUTH:2nd%Open%Office%SME1#05,309.65,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,Exterior Equipment,988.11,0.00,0.00,0.00,0.00,0.00
,Fans,General,0.00,0.00,0.00,0.00,0.00,0.00
,,VAV Supply Fan Energy,1994.43,0.00,0.00,0.00,0.00,0.00
,Pumps,General,1756.80,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,General,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,General,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,General,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,General,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,General,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,General,0.00,0.00,0.00,0.00,0.00,0.00


Normalized Metrics
Utility Use Per Conditioned Floor Area

,,Electricity Intensity [kWh/m2],Natural Gas Intensity [kWh/m2],Additional Fuel Intensity [kWh/m2],District Cooling Intensity [kWh/m2],District Heating Intensity [kWh/m2],Water Intensity [m3/m2]
,Lighting,2.27,0.00,0.00,0.00,0.00,0.00
,HVAC,3.78,0.00,0.00,0.00,0.00,0.00
,Other,4.34,0.00,0.00,0.00,0.00,0.00
,Total,10.39,0.00,0.00,0.00,0.00,0.00


Utility Use Per Total Floor Area

,,Electricity Intensity [kWh/m2],Natural Gas Intensity [kWh/m2],Additional Fuel Intensity [kWh/m2],District Cooling Intensity [kWh/m2],District Heating Intensity [kWh/m2],Water Intensity [m3/m2]
,Lighting,1.88,0.00,0.00,0.00,0.00,0.00
,HVAC,3.12,0.00,0.00,0.00,0.00,0.00
,Other,3.58,0.00,0.00,0.00,0.00,0.00
,Total,8.58,0.00,0.00,0.00,0.00,0.00


Electric Loads Satisfied

,,Electricity [kWh],Percent Electricity [%]
,Fuel-Fired Power Generation,0.00,0.00
,High Temperature Geothermal*,0.00,0.00
,Photovoltaic Power,0.00,0.00
,Wind Power,0.00,0.00
,Net Decrease in On-Site Storage,0.00,0.00
,Total On-Site Electric Sources,0.00,0.00
,,,
,Electricity Coming From Utility,25021.94,100.00
,Surplus Electricity Going To Utility,0.00,0.00
,Net Electricity From Utility,25021.94,100.00
,,,
,Total On-Site and Utility Electric Sources,25021.94,100.00
,Total Electricity End Uses,25021.94,100.00


On-Site Thermal Sources

,,Heat [kWh],Percent Heat [%]
,Water-Side Heat Recovery,0.00,
,Air to Air Heat Recovery for Cooling,0.00,
,Air to Air Heat Recovery for Heating,0.00,
,High-Temperature Geothermal*,0.00,
,Solar Water Thermal,0.00,
,Solar Air Thermal,0.00,
,Total On-Site Thermal Sources,0.00,


Water Source Summary

,,Water [m3],Percent Water [%]
,Rainwater Collection,0.00,-
,Condensate Collection,0.00,-
,Groundwater Well,0.00,-
,Total On Site Water Sources,0.00,-
,-,-,-
,Initial Storage,0.00,-
,Final Storage,0.00,-
,Change in Storage,0.00,-
,-,-,-
,Water Supplied by Utility,0.00,-
,-,-,-
,Total On Site, Change in Storage, and Utility Water Sources,0.00,-
,Total Water End Uses,0.00,-


Setpoint Not Met Criteria

,,Degrees [deltaC]
,Tolerance for Zone Heating Setpoint Not Met Time,2.00
,Tolerance for Zone Cooling Setpoint Not Met Time,2.00


Comfort and Setpoint Not Met Summary

,,Facility [Hours]
,Time Setpoint Not Met During Occupied Heating,8.00
,Time Setpoint Not Met During Occupied Cooling,0.00
,Time Not Comfortable Based on Simple ASHRAE 55-2004,386.67


Note 1: An asterisk (*) indicates that the feature is not yet implemented.
----------------------------------------------------------------------------------------------------
REPORT:,Input Verification and Results Summary
FOR:,Entire Facility
General

,,Value
,Program Version and Build,EnergyPlus, Version 8.3.0-6d97d074ea, YMD=2018.04.26 10:12
,RunPeriod,PHIPPS_CSL_BUILDING_WINTER
,Weather File,Pittsburgh Allegheny Co Ap PA USA TMY3 WMO#=725205
,Latitude [deg],40.35
,Longitude [deg],-79.9
,Elevation [m],380.00
,Time Zone,-5.0
,North Axis Angle [deg],0.00
,Rotation for Appendix G [deg],0.00
,Hours Simulated [hrs],2928.00


ENVELOPE
Window-Wall Ratio

,,Total,North (315 to 45 deg),East (45 to 135 deg),South (135 to 225 deg),West (225 to 315 deg)
,Gross Wall Area [m2],1745.95,522.70,387.45,573.72,262.09
,Above Ground Wall Area [m2],1480.57,388.78,284.58,557.70,249.51
,Window Opening Area [m2],565.60,93.72,113.51,275.17,83.19
,Gross Window-Wall Ratio [%],32.39,17.93,29.30,47.96,31.74
,Above Ground Window-Wall Ratio [%],38.20,24.11,39.89,49.34,33.34


Conditioned Window-Wall Ratio

,,Total,North (315 to 45 deg),East (45 to 135 deg),South (135 to 225 deg),West (225 to 315 deg)
,Gross Wall Area [m2],1148.44,365.78,169.43,449.17,164.05
,Above Ground Wall Area [m2],962.72,256.34,113.60,433.16,159.62
,Window Opening Area [m2],331.07,51.89,29.07,213.14,36.97
,Gross Window-Wall Ratio [%],28.83,14.19,17.16,47.45,22.54
,Above Ground Window-Wall Ratio [%],34.39,20.24,25.59,49.21,23.16


Skylight-Roof Ratio

,,Total
,Gross Roof Area [m2],952.69
,Skylight Area [m2],32.56
,Skylight-Roof Ratio [%],3.42


PERFORMANCE
Zone Summary

,,Area [m2],Conditioned (Y/N),Part of Total Floor Area (Y/N),Volume [m3],Multipliers,Gross Wall Area [m2],Window Glass Area [m2],Lighting [W/m2],People [m2 per person],Plug and Process [W/m2]
,1ST%PLENVM:1ST%PLENVM,454.37,Yes,Yes,159.76,1.00,9.08,0.00,0.0000,,0.0000
,1ST%FLOOR:1ST%CONFERENCE,20.84,Yes,Yes,80.66,1.00,22.70,2.92,5.2030,25.00,3.3180
,1ST%FLOOR:1ST%RESEARCH%OPEN%NE,40.43,Yes,Yes,155.03,1.00,27.69,6.94,4.6520,100.00,8.8000
,1ST%FLOOR:1ST%LOBBY,254.59,No,Yes,959.25,1.00,65.33,34.67,5.2030,19.92,0.0000
,1ST%FLOOR:1ST%HVAC%SHAFT,0.02,No,Yes,10.89,1.00,19.18,0.00,0.0000,,0.0000
,1ST%FLOOR:1ST%CLASSROOM,134.62,Yes,Yes,518.06,1.00,82.27,20.29,5.4780,50.00,3.3180
,1ST%FLOOR:1ST%VESTIBULE,7.70,Yes,Yes,28.68,1.00,21.70,17.38,2.7230,20.00,0.0000
,1ST%FLOOR:1ST%ELECTRICAL%ROOM,15.13,No,Yes,56.77,1.00,0.00,0.00,5.7540,,0.0000
,1ST%FLOOR:1ST%RESTROOM,58.00,Yes,Yes,217.58,1.00,0.00,0.00,4.1010,50.00,0.0000
,1ST%FLOOR:1ST%RESEARCH%OPEN%NW,24.97,Yes,Yes,96.65,1.00,24.91,3.11,4.6520,100.00,8.8000
,1ST%FLOOR:1ST%RESEARCH%OPEN%NM,30.90,Yes,Yes,119.59,1.00,23.21,7.25,4.6520,100.00,8.8000
,1ST%FLOOR:1ST%BREAK%ROOM,51.24,Yes,Yes,198.28,1.00,51.87,15.81,4.9270,25.00,7.6160
,1ST%FLOOR:1ST%PHONE%BOOTH,8.32,No,Yes,31.52,1.00,0.00,0.00,5.2030,100.00,0.0000
,1ST%FLOOR:1ST%VOLUNTEER%AREA,46.38,Yes,Yes,178.60,1.00,22.79,7.37,4.9270,50.00,2.1030
,1ST%FLOOR:1ST%RESEARCH%OPEN%SW,25.74,Yes,Yes,99.62,1.00,13.92,5.66,4.6520,100.00,8.8000
,1ST%FLOOR:1ST%RESEARCH%OPEN%SM,41.97,Yes,Yes,162.42,1.00,24.82,10.65,4.6520,100.00,8.8000
,1ST%FLOOR:1ST%RESEARCH%OPEN%SE,41.97,Yes,Yes,162.42,1.00,24.82,10.65,4.6520,100.00,8.8000
,1ST%FLOOR:1ST%MCHNCL%RM%01,33.53,No,Yes,125.77,1.00,18.23,0.00,5.7540,,0.0000
,1ST%FLOOR:1ST%CORRIDOR,18.13,Yes,Yes,68.01,1.00,0.00,0.00,2.7230,20.00,0.0000
,1ST%FLOOR:1ST%EDCTN%STRG,31.99,Yes,Yes,120.02,1.00,3.99,0.00,3.8250,100.00,0.0000
,1ST%FLOOR:1ST%ELEVATOR%MACHINE,6.43,No,Yes,24.12,1.00,0.00,0.00,2.7230,,0.0000
,2ND%PLENVM:2ND%PLENVM%FALSE,597.96,Yes,Yes,106.22,1.00,37.80,0.00,0.0000,,0.0000
,2ND%PLENVM:2ND%PLENVM%NORTH,4.25,No,Yes,8.30,1.00,2.91,0.00,0.0000,,0.0000
,2ND%FLOOR%SOUTH:2ND%HVAC%SHAFT,0.03,No,Yes,18.98,1.00,26.55,0.00,0.0000,,0.0000
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%NE,204.64,Yes,Yes,885.77,1.00,78.05,21.51,4.6520,100.00,5.2670
,2ND%FLOOR%SOUTH:2ND%CONFERENCE%02,26.66,Yes,Yes,115.59,1.00,42.64,2.95,5.4780,33.27,3.3180
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SW,24.00,Yes,Yes,103.86,1.00,43.53,11.03,4.6520,100.00,5.2670
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SMW,44.52,Yes,Yes,192.62,1.00,33.14,14.14,4.6520,100.00,5.2670
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SM,32.63,Yes,Yes,141.17,1.00,24.33,9.93,4.6520,100.00,5.2670
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SE,37.06,Yes,Yes,160.36,1.00,27.69,11.54,4.6520,100.00,5.2670
,2ND%FLOOR%SOUTH:2ND%CONFERENCE%01,56.22,Yes,Yes,243.26,1.00,70.29,28.51,5.4780,33.33,3.3180
,2ND%FLOOR%SOUTH:2ND%PHONE%BOOTH,3.91,No,Yes,16.90,1.00,0.00,0.00,5.2030,100.00,0.0000
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%NMW,46.40,Yes,Yes,200.77,1.00,33.14,3.57,4.6520,100.00,5.2670
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%NME,34.12,Yes,Yes,147.63,1.00,24.33,7.25,4.6520,100.00,5.2670
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%NW,24.03,Yes,Yes,103.96,1.00,25.69,2.94,4.6520,100.00,5.2670
,2ND%FLOOR%NORTH:2ND%LOBBY,121.63,No,Yes,750.20,1.00,107.04,19.81,5.2030,21.57,0.0000
,2ND%FLOOR%NORTH:2ND%RESTROOMS,52.63,Yes,Yes,241.68,1.00,20.80,0.00,4.1010,49.91,0.0000
,2ND%FLOOR%NORTH:2ND%CORRIDOR,34.86,Yes,Yes,157.93,1.00,5.93,0.00,2.7230,20.32,0.0000
,2ND%FLOOR%NORTH:2ND%SECURE%FILES,16.52,Yes,Yes,77.53,1.00,6.72,0.00,4.1010,99.76,0.0000
,2ND%FLOOR%NORTH:2ND%CONFERENCE%03,25.57,Yes,Yes,106.82,1.00,43.07,4.11,2.7230,52.86,3.3180
,2ND%FLOOR%NORTH:2ND%WORK%ROOM,25.03,Yes,Yes,117.21,1.00,20.54,1.19,4.6520,33.33,3.3180
,3RD%FLOOR%SHAFT:3RD%HVAC%SHAFT,0.02,No,Yes,2.60,1.00,11.19,0.00,0.0000,,0.0000
,3RD%FLOOR%LOWER:3RD%LOWER%LOBBY,48.77,No,Yes,520.52,1.00,191.26,52.71,0.0000,,0.0000
,3RD%FLOOR%LOWER:3RD%LOWER%VESTIBULE,8.88,No,Yes,31.25,1.00,22.18,13.32,0.0000,,0.0000
,3RD%FLOOR%UPPER:3RD%UPPER%LOBBY,2.35,No,Yes,71.52,1.00,54.00,53.89,0.0000,,0.0000
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SME1,38.02,Yes,Yes,164.53,1.00,28.46,11.91,4.6520,100.00,5.2670
,2ND%FLOOR%SOUTH:2ND%OPEN%OFFICE%SME,57.03,Yes,Yes,246.75,1.00,42.79,18.20,4.6520,100.00,5.2670
,Total,2914.99,,,8507.62,,1480.57,431.22,2.9421,69.47,2.0982
,Conditioned Total,2407.15,,,5879.04,,962.72,256.82,2.5996,102.80,2.5409
,Unconditioned Total,507.84,,,2628.58,,517.85,174.40,4.5656,27.38,0.0000
,Not Part of Total,0.00,,,0.00,,0.00,0.00,,,


----------------------------------------------------------------------------------------------------
REPORT:,Demand End Use Components Summary
FOR:,Entire Facility
End Uses

,,Electricity [W],Natural Gas [W],Propane [W],District Cooling [W],Steam [W],Water [m3/s]
,Time of Peak,26-AUG-14:30,-,-,-,-,-
,Heating,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,7883.88,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,2633.11,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,4571.18,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,234.36,0.00,0.00,0.00,0.00,0.00
,Fans,1246.19,0.00,0.00,0.00,0.00,0.00
,Pumps,600.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,
,Total End Uses,17168.72,0.00,0.00,0.00,0.00,0.00


End Uses By Subcategory

,,Subcategory,Electricity [W],Natural Gas [W],Propane [W],District Cooling [W],Steam [W],Water [m3/s]
,Heating,General,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,General,7883.88,0.00,0.00,0.00,0.00,0.00
